title,author,year_pub,provider,region,crop,uri,group
Survey of Land and Water Management Practices Over Time on the Productivity and Economic Benefits of Cereal Crops,"K. Saito, K. Azoma, S.O. Oikeh",2012,AfricaRice Dataverse,Benin,,doi:10.7910/DVN/APIRCJ,variety_trials
The Impact of Soil and Water Conservation Technologies in Tanzania,"Kazuki Saito, Koichi Futakuchi",2012,AfricaRice Dataverse,West Africa,,doi:10.7910/DVN/2XHKHB,variety_trials
Cassava Weed Management Data - Herbicide Screening 2014,"Hauser, S.et al. (IITA)",2015,IITA,Nigeria,Cassava,doi: 10.25502/p8eq-c814/d,pest_disease
Cassava Weed Management Data - On farm trials 2018,"Hauser, S.et al. (IITA)",2015,IITA,Nigeria,Cassava,doi: 10.25502/2rb2-6439/d,pest_disease
Cassava Weed Management Data - Agronomy Trials 2014 ,International Center for Tropical Agriculture (CIAT??Selian Agricultural Research Institute (SARI,2017,IFPRI,,Cassava,doi:10.7910/DVN/KLPHCG,soil_samples
Cassava Weed Management Data - Agronomy Trials 2015,Kotu & Nurudeen,2015,IITA,Ghana,maize,doi:10.7910/DVN/8UFV7X,agronomy
"Weed surveys in food crops and irrigated rice in the Zonmon region, Benin (2013)",Marnotte et al. [CIRAD],2013,CIRAD,Benin,"rice, maize, cassava, sweet potatoes",doi:10.18167/DVN1/X98KVY,pest_disease
Weed surveys in food crops in Center-East Côte d'Ivoire (2011-2014),Touré et al [CIRAD],2020,CIRAD,Côte d'Ivoire,Cassava,doi:10.18167/DVN1/ZH4W5M,pest_disease
Synthesis of the inventory of weeds of food crops in Côte d'Ivoire (2009-2016),Ipou Ipou et al [CIRAD],2020,CIRAD,Côte d'Ivoire,"rice, food crops, maize, plantain, cassava, yam, groundnut",doi:10.18167/DVN1/V0QGKT,pest_disease
"Weed survey in food crops in Adbijan disctrict, Côte d'Ivoire (2015)",Koumane et al[CIRAD],2020,CIRAD,Côte d'Ivoire,Cassava,doi:10.18167/DVN1/VCLIB5,pest_disease
Survey of Land and Water Management Practices Over Time on the Productivity and Economic Benefits of Cereal Crops,Birhanu Z,2023,ICRISAT,Mali,Survey,doi:10.7910/DVN/HIMC9V,survey
Crop Diversification in Maize-Based Cropping System: Maize-Sesame Intercropping,International Food Policy Research Institute (IFPRI),2015,IFPRI,MLI,,doi:10.7910/DVN/UDKSBJ,survey
Africa RISING TZN- Maize Intensification Using Fertilizer,International Food Policy Research Institute (IFPRI),2016,IFPRI,ETH,NA,doi:10.7910/DVN/H6RWOO,survey
MLI Africa Research in Sustainable Intensification for the Next Generation (Africa RISING) Baseline Evaluation Survey,International Food Policy Research Institute (IFPRI),2015,IFPRI,MWI,NA,doi:10.7910/DVN/28557,survey
ETH Africa Research in Sustainable Intensification for the Next Generation (Africa RISING) Baseline Evaluation Survey,International Food Policy Research Institute (IFPRI),2015,IFPRI,TZA,NA,doi:10.7910/DVN/PPUL2W,survey
MWI Africa Research in Sustainable Intensification for the Next Generation (Africa RISING) Baseline Evaluation Survey,Azzarri et al,2014,IFPRI,Ghana,Survey,doi:10.7910/DVN/QUB9UT,survey
TZN Africa Research in Sustainable Intensification for the Next Generation (Africa RISING) Baseline Evaluation Survey,Groot et al,2013,WUR,Ghana,Survey,doi:10.7910/DVN/ZH8UZI,survey
Ghana Africa Research in Sustainable Intensification for the Next Generation (Africa RISING) Baseline Evaluation Survey,Groot et al,2014,IITA,Ghana,maize,doi:10.7910/DVN/ZH8UZI,agronomy
Rapid Characterisation of Farming Systems in Africa RISING - Ghana,IITA,2014,IFPRI,TZA,,doi:10.7910/DVN/74QMCD,fertilizer
"Promoting Sustainable Intensification Through Efficient Application of Different Sources of Phosphorus (Minjingu Granular, Minjingu Mazao, DAP and TSP) (CIAT)","Chikoye, David",2021,IITA,ZMB,"Maize, Soybean",doi:10.25502/0fa9-dm27/d,fertilizer
